key	eco	name_fr	name_en
d4 d5 Nc3 Nf6 Bf4	D01	Système Rapport-Jobava	Rapport-Jobava System
d4 d5 Nc3 e6 Bf4	D01	Système Rapport-Jobava, avec e6	Rapport-Jobava System, with e6
d4 d5 Nf3 Nf6 Bf4	D02	Partie du pion dame : Système London	Queen's Pawn Game: London System
d4 d5 Nf3 Nf6 Bg5	D03	Partie du pion dame : Attaque Torre	Queen's Pawn Game: Torre Attack
d4 d5 Nf3 Nf6 e3	D04	Partie du pion dame : Système Colle	Queen's Pawn Game: Colle System
d4 d5 Nf3 Nf6 g3	D02	Partie du pion dame : Variante symétrique, Pseudo-Catalan	Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan
d4 d5 Nf3 e6 Bf4	D02	Partie du pion dame : Système London, avec e6	Queen's Pawn Game: London System, with e6
d4 d5 c4 Bf5 Qb3	D06	Gambit dame refusé : Défense Baltic, Attaque Queen	Queen's Gambit Declined: Baltic Defense, Queen Attack
d4 d5 c4 Nc6 Nc3	D07	Gambit dame refusé : Défense Chigorin	Queen's Gambit Declined: Chigorin Defense
d4 d5 c4 c6 Nc3	D10	Défense slave	Slav Defense
d4 d5 c4 c6 Nf3	D11	Défense slave : moderne ligne	Slav Defense: Modern Line
d4 d5 c4 c6 cxd5	D10	Défense slave : Variante échange	Slav Defense: Exchange Variation
d4 d5 c4 c6 e4	D10	Défense slave : Gambit Diemer	Slav Defense: Diemer Gambit
d4 d5 c4 dxc4 Nf3	D21	Gambit dame accepté : Variante Normal	Queen's Gambit Accepted: Normal Variation
d4 d5 c4 dxc4 Qa4	D20	Gambit dame accepté : Variante Accelerated Mannheim	Queen's Gambit Accepted: Accelerated Mannheim Variation
d4 d5 c4 dxc4 e3	D20	Gambit dame accepté : Variante ancienne	Queen's Gambit Accepted: Old Variation
d4 d5 c4 dxc4 e4	D20	Gambit dame accepté : Variante Saduleto	Queen's Gambit Accepted: Saduleto Variation
d4 d5 c4 e6 Nc3	D31	Gambit dame refusé : Variante Queen's cavalier	Queen's Gambit Declined: Queen's Knight Variation
d4 d5 e3 Nf6 Bd3	D00	Partie du pion dame : Attaque Stonewall	Queen's Pawn Game: Stonewall Attack
d4 d5 e4 dxe4 Bc4	D00	Gambit Blackmar-Diemer : Attaque Fritz	Blackmar-Diemer Gambit: Fritz Attack
d4 d5 e4 dxe4 Be3	D00	Gambit Blackmar-Diemer : Attaque Diemer-Rosenberg	Blackmar-Diemer Gambit: Diemer-Rosenberg Attack
d4 d5 e4 dxe4 f3	D00	Gambit Blackmar-Diemer : Gambit Blackmar	Blackmar-Diemer Gambit: Blackmar Gambit
d4 e5 Nf3 e4 Ne5	A40	Gambit Englund refusé : inversée Mokele Mbembe	Englund Gambit Declined: Reversed Mokele Mbembe
d4 e5 Nf3 e4 Ng1	A40	Gambit Englund refusé : inversée Brooklyn	Englund Gambit Declined: Reversed Brooklyn
d4 e6 c4 Bb4 Nc3	A40	Défense kangourou : Défense Keres, Variante Transpositional	Kangaroo Defense: Keres Defense, Transpositional Variation
d4 f5 Bf4 e6 g4	A80	Défense hollandaise : Gambit Senechaud	Dutch Defense: Senechaud Gambit
d4 f5 Nc3 Nf6 g4	A80	Défense hollandaise : Gambit Spielmann	Dutch Defense: Spielmann Gambit
d4 f5 Nc3 d5 e4	A80	Défense hollandaise : Gambit Kingfisher	Dutch Defense: Kingfisher Gambit
d4 f5 Nf3 Nf6 c3	A80	Défense hollandaise : Variante Barcza	Dutch Defense: Barcza Variation
d4 f5 Qd3 d5 g4	A80	Défense hollandaise : Gambit Manhattan, Anti-Stonewall	Dutch Defense: Manhattan Gambit, Anti-Stonewall
d4 f5 Qd3 d6 g4	A80	Défense hollandaise : Gambit Manhattan, Anti-moderne	Dutch Defense: Manhattan Gambit, Anti-Modern
d4 f5 Qd3 e6 g4	A80	Défense hollandaise : Gambit Manhattan, Anti-classique ligne	Dutch Defense: Manhattan Gambit, Anti-Classical Line
d4 f5 Qd3 g6 g4	A80	Défense hollandaise : Gambit Manhattan, Anti-Leningrad	Dutch Defense: Manhattan Gambit, Anti-Leningrad
d4 f5 c4 Nf6 Nc3	A85	Défense hollandaise : Variante Queen's cavalier	Dutch Defense: Queen's Knight Variation
d4 f5 c4 Nf6 g3	A86	Défense hollandaise : Variante fianchetto	Dutch Defense: Fianchetto Variation
d4 f5 c4 e6 Nc3	A84	Défense hollandaise : Variante Rubinstein	Dutch Defense: Rubinstein Variation
d4 f5 c4 e6 e4	A84	Défense hollandaise : Gambit Bellon	Dutch Defense: Bellon Gambit
d4 f5 e4 fxe4 Nd2	A82	Défense hollandaise : Gambit Staunton, Attaque American	Dutch Defense: Staunton Gambit, American Attack
d4 f5 h3 Nf6 g4	A80	Défense hollandaise : Gambit Janzen-Korchnoi	Dutch Defense: Janzen-Korchnoi Gambit
d4 g6 h4 Nf6 h5	A40	Défense moderne : Défense Lizard, Gambit Pirc-Diemer	Modern Defense: Lizard Defense, Pirc-Diemer Gambit
e3 e5 Bc4 b5 Bb3	A00	Ouverture Van't Kruijs : Variante Bouncing fou	Van't Kruijs Opening: Bouncing Bishop Variation
e4 Nc6 Nf3 f5 exf5	B00	Défense Nimzowitsch : Colorado contre-gambit accepté	Nimzowitsch Defense: Colorado Countergambit Accepted
e4 Nc6 d4 d5 Be3	B00	Défense Nimzowitsch : Gambit Hornung	Nimzowitsch Defense: Hornung Gambit
e4 Nc6 d4 d5 Nc3	B00	Défense Nimzowitsch : Variante scandinave, Variante Bogoljubow	Nimzowitsch Defense: Scandinavian Variation, Bogoljubow Variation
e4 Nc6 d4 d5 e5	B00	Défense Nimzowitsch : Variante scandinave, Variante avancée	Nimzowitsch Defense: Scandinavian Variation, Advance Variation
e4 Nc6 d4 e5 d5	B00	Défense Nimzowitsch : Variante Kennedy, Variante Linksspringer	Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation
e4 Nf6 Bc4 Nxe4 Bxf7	B02	Défense Alekhine : Variante Krejcik, Gambit Krejcik	Alekhine Defense: Krejcik Variation, Krejcik Gambit
e4 Nf6 e5 Nd5 Na3	B02	Défense Alekhine : Attaque Buckley	Alekhine Defense: Buckley Attack
e4 Nf6 e5 Nd5 Nc3	B02	Défense Alekhine : Attaque Sämisch	Alekhine Defense: Sämisch Attack
e4 Nf6 e5 Nd5 b3	B02	Défense Alekhine : Variante Welling	Alekhine Defense: Welling Variation
e4 Nf6 e5 Nd5 c4	B02	Défense Alekhine : Attaque Two Pawns	Alekhine Defense: Two Pawns Attack
e4 Nf6 e5 Nd5 d4	B03	Défense Alekhine	Alekhine Defense
e4 b6 d4 Bb7 Bg5	B00	Défense Owen : Gambit Naselwaus	Owen Defense: Naselwaus Gambit
e4 b6 d4 Bb7 Nf3	B00	Défense Owen : Gambit Smith	Owen Defense: Smith Gambit
e4 c5 Nc3 Nc6 Nge2	B23	Défense sicilienne : Closed, Variante Chameleon	Sicilian Defense: Closed, Chameleon Variation
e4 c5 Nc3 Nc6 f4	B23	Défense sicilienne : Attaque Grand Prix	Sicilian Defense: Grand Prix Attack
e4 c5 Nc3 Nc6 g3	B24	Défense sicilienne : Closed, Variante fianchetto	Sicilian Defense: Closed, Fianchetto Variation
e4 c5 Nc3 Nc6 g4	B23	Défense sicilienne : Closed, Attaque Grob	Sicilian Defense: Closed, Grob Attack
e4 c5 Nc3 e6 g3	B23	Défense sicilienne : Closed	Sicilian Defense: Closed
e4 c5 Nf3 Nc6 Bb5	B30	Défense sicilienne : Attaque Nyezhmetdinov-Rossolimo	Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
e4 c5 Nf3 Nc6 b4	B30	Défense sicilienne : Gambit Portsmouth	Sicilian Defense: Portsmouth Gambit
e4 c5 Nf3 Nc6 d4	B32	Défense sicilienne : Open	Sicilian Defense: Open
e4 c5 Nf3 Nf6 Nc3	B29	Défense sicilienne : Variante Nimzowitsch, Variante Closed	Sicilian Defense: Nimzowitsch Variation, Closed Variation
e4 c5 Nf3 Nf6 e5	B29	Défense sicilienne : Variante Nimzowitsch, Variante avancée	Sicilian Defense: Nimzowitsch Variation, Advance Variation
e4 c5 Nf3 a6 Be2	B28	Défense sicilienne : Variante O'Kelly, Système Aronin	Sicilian Defense: O'Kelly Variation, Aronin System
e4 c5 Nf3 a6 Nc3	B28	Défense sicilienne : Variante O'Kelly, Système Yerevan	Sicilian Defense: O'Kelly Variation, Yerevan System
e4 c5 Nf3 a6 b3	B28	Défense sicilienne : Variante O'Kelly, Système Kieseritzky	Sicilian Defense: O'Kelly Variation, Kieseritzky System
e4 c5 Nf3 a6 b4	B28	Défense sicilienne : Variante O'Kelly, Gambit aile	Sicilian Defense: O'Kelly Variation, Wing Gambit
e4 c5 Nf3 a6 c3	B28	Défense sicilienne : Variante O'Kelly, Système Venice	Sicilian Defense: O'Kelly Variation, Venice System
e4 c5 Nf3 a6 c4	B28	Défense sicilienne : Variante O'Kelly, Maróczy Bind	Sicilian Defense: O'Kelly Variation, Maróczy Bind
e4 c5 Nf3 a6 d3	B28	Défense sicilienne : Variante O'Kelly, Système calme	Sicilian Defense: O'Kelly Variation, Quiet System
e4 c5 Nf3 a6 d4	B28	Défense sicilienne : Variante O'Kelly, Système Normal	Sicilian Defense: O'Kelly Variation, Normal System
e4 c5 Nf3 a6 g3	B28	Défense sicilienne : Variante O'Kelly, Système Réti	Sicilian Defense: O'Kelly Variation, Réti System
e4 c5 Nf3 d6 Bb5	B51	Défense sicilienne : Variante Moscow	Sicilian Defense: Moscow Variation
e4 c5 Nf3 d6 Bd3	B50	Défense sicilienne : Système Kopec	Sicilian Defense: Kopec System
e4 c5 Nf3 d6 b4	B50	Défense sicilienne : Gambit aile, Variante différé	Sicilian Defense: Wing Gambit, Deferred Variation
e4 c5 Nf3 d6 c3	B50	Défense sicilienne : Variante retardé Alapin, avec d6	Sicilian Defense: Delayed Alapin Variation, with d6
e4 c5 Nf3 d6 d4	B50	Défense sicilienne	Sicilian Defense
e4 c5 Nf3 e6 b3	B40	Défense sicilienne : Variante française, Attaque Westerinen	Sicilian Defense: French Variation, Westerinen Attack
e4 c5 Nf3 e6 b4	B40	Défense sicilienne : aile gambit différé	Sicilian Defense: Wing Gambit Deferred
e4 c5 Nf3 e6 c3	B40	Défense sicilienne : Variante retardé Alapin, avec e6	Sicilian Defense: Delayed Alapin Variation, with e6
e4 c5 Nf3 e6 c4	B40	Défense sicilienne : Variante Kramnik	Sicilian Defense: Kramnik Variation
e4 c5 Nf3 g6 d4	B27	Défense sicilienne : Hyperaccelerated Dragon	Sicilian Defense: Hyperaccelerated Dragon
e4 c5 b3 d5 Bb2	B20	Défense sicilienne : Attaque Euwe, Gambit Prins	Sicilian Defense: Euwe Attack, Prins Gambit
e4 c5 b4 cxb4 Bb2	B20	Défense sicilienne : Gambit aile, Variante Abrahams	Sicilian Defense: Wing Gambit, Abrahams Variation
e4 c5 b4 cxb4 a3	B20	Défense sicilienne : Gambit aile, Variante Marshall	Sicilian Defense: Wing Gambit, Marshall Variation
e4 c5 b4 cxb4 c4	B20	Défense sicilienne : Gambit aile, Variante Santasiere	Sicilian Defense: Wing Gambit, Santasiere Variation
e4 c5 d4 cxd4 Nf3	B21	Défense sicilienne : Gambit Morphy	Sicilian Defense: Morphy Gambit
e4 c5 d4 cxd4 c3	B21	Défense sicilienne : Gambit Smith-Morra	Sicilian Defense: Smith-Morra Gambit
e4 c5 d4 cxd4 f4	B21	Défense sicilienne : Gambit Halasz	Sicilian Defense: Halasz Gambit
e4 c5 f4 d5 Nc3	B21	Défense sicilienne : Attaque McDonnell, Variante Toilet	Sicilian Defense: McDonnell Attack, Toilet Variation
e4 c6 Nc3 d5 Nf3	B10	Défense Caro-Kann : Attaque deux cavaliers	Caro-Kann Defense: Two Knights Attack
e4 c6 Nc3 d5 Qf3	B10	Défense Caro-Kann : Variante Goldman	Caro-Kann Defense: Goldman Variation
e4 c6 Nc3 d5 h3	B10	Défense Caro-Kann : Attaque St. Patrick's	Caro-Kann Defense: St. Patrick's Attack
e4 c6 Nf3 d5 d3	B10	Défense Caro-Kann : Endgame Offer	Caro-Kann Defense: Endgame Offer
e4 c6 b4 d5 b5	B10	Défense Caro-Kann : Attaque Labahn, Gambit Double	Caro-Kann Defense: Labahn Attack, Double Gambit
e4 c6 b4 e5 Bb2	B10	Défense Caro-Kann : Attaque Labahn, Variante polonaise	Caro-Kann Defense: Labahn Attack, Polish Variation
e4 c6 c4 d5 e5	B10	Défense Caro-Kann : Gambit Toikkanen	Caro-Kann Defense: Toikkanen Gambit
e4 c6 d4 d5 Be3	B12	Défense Caro-Kann : Gambit Mieses	Caro-Kann Defense: Mieses Gambit
e4 c6 d4 d5 Nc3	B15	Défense Caro-Kann	Caro-Kann Defense
e4 c6 d4 d5 Nd2	B12	Défense Caro-Kann : Variante moderne	Caro-Kann Defense: Modern Variation
e4 c6 d4 d5 e5	B12	Défense Caro-Kann : Variante avancée	Caro-Kann Defense: Advance Variation
e4 c6 d4 d5 exd5	B13	Défense Caro-Kann : Variante échange	Caro-Kann Defense: Exchange Variation
e4 c6 d4 d5 f3	B12	Défense Caro-Kann : Variante Maróczy	Caro-Kann Defense: Maróczy Variation
e4 d5 exd5 Nf6 d4	B01	Défense scandinave : Variante moderne	Scandinavian Defense: Modern Variation
e4 d6 d4 Nf6 Nf3	B00	Défense Pirc : Gambit Roscher	Pirc Defense: Roscher Gambit
e4 d6 d4 Nf6 f3	B00	Défense Lion : Lion's Jaw	Lion Defense: Lion's Jaw
e4 e5 Bb5 Bc5 b4	C20	Ouverture portugaise : Gambit Miguel	Portuguese Opening: Miguel Gambit
e4 e5 Bb5 Nf6 d4	C20	Ouverture portugaise : Gambit portugaise	Portuguese Opening: Portuguese Gambit
e4 e5 Bc4 Bc5 Qe2	C23	Ouverture du fou : Variante Lopez	Bishop's Opening: Lopez Variation
e4 e5 Bc4 Bc5 b4	C23	Ouverture du fou : Gambit McDonnell	Bishop's Opening: McDonnell Gambit
e4 e5 Bc4 Bc5 c3	C23	Ouverture du fou : Variante Philidor	Bishop's Opening: Philidor Variation
e4 e5 Bc4 Bc5 d4	C23	Ouverture du fou : Gambit Lewis	Bishop's Opening: Lewis Gambit
e4 e5 Bc4 Bc5 f4	C23	Ouverture du fou : Gambit Stein	Bishop's Opening: Stein Gambit
e4 e5 Bc4 Nf6 d4	C24	Ouverture du fou : Gambit Ponziani	Bishop's Opening: Ponziani Gambit
e4 e5 Bc4 Nf6 f4	C24	Ouverture du fou : Défense Berlin, Gambit Greco	Bishop's Opening: Berlin Defense, Greco Gambit
e4 e5 Bc4 f5 d3	C23	Ouverture du fou : Contre-gambit Calabrese, Variante Jaenisch	Bishop's Opening: Calabrese Countergambit, Jaenisch Variation
e4 e5 Nc3 Bc5 Na4	C25	Partie viennoise : Variante Hamppe-Meitner	Vienna Game: Hamppe-Meitner Variation
e4 e5 Nc3 Bc5 Qg4	C25	Partie viennoise : Attaque Giraffe	Vienna Game: Giraffe Attack
e4 e5 Nc3 Nc6 d4	C25	Partie viennoise : Gambit Fyfe	Vienna Game: Fyfe Gambit
e4 e5 Nc3 Nc6 f4	C25	Vienna gambit, Défense avec Max Lange	Vienna Gambit, with Max Lange Defense
e4 e5 Nc3 Nc6 g3	C25	Partie viennoise : Variante Paulsen	Vienna Game: Paulsen Variation
e4 e5 Nc3 Nf6 Bc4	C26	Partie viennoise : Variante Stanley	Vienna Game: Stanley Variation
e4 e5 Nc3 Nf6 a3	C26	Partie viennoise : Variante Mengarini	Vienna Game: Mengarini Variation
e4 e5 Nc3 Nf6 f4	C29	Partie viennoise : Gambit Vienna	Vienna Game: Vienna Gambit
e4 e5 Nc3 Nf6 g3	C26	Partie viennoise : Variante Mieses	Vienna Game: Mieses Variation
e4 e5 Nc3 d6 f4	C25	Partie viennoise : Gambit Omaha	Vienna Game: Omaha Gambit
e4 e5 Nf3 Nc6 Bb5	C60	Partie espagnole (Ruy López)	Ruy Lopez
e4 e5 Nf3 Nc6 Bc4	C50	Partie italienne	Italian Game
e4 e5 Nf3 Nc6 Be2	C44	Partie du pion roi : Tayler ouverture	King's Pawn Game: Tayler Opening
e4 e5 Nf3 Nc6 Nc3	C46	Ouverture des trois cavaliers	Three Knights Opening
e4 e5 Nf3 Nc6 Nxe5	C44	Gambit irlandais	Irish Gambit
e4 e5 Nf3 Nc6 b4	C44	Partie du pion roi : Gambit Pachman aile	King's Pawn Game: Pachman Wing Gambit
e4 e5 Nf3 Nc6 c3	C44	Ouverture Ponziani	Ponziani Opening
e4 e5 Nf3 Nc6 c4	C44	Partie du pion roi : Dresden ouverture	King's Pawn Game: Dresden Opening
e4 e5 Nf3 Nc6 d4	C44	Partie écossaise	Scotch Game
e4 e5 Nf3 Nc6 g3	C44	Ouverture du cavalier-roi : Konstantinopolsky	King's Knight Opening: Konstantinopolsky
e4 e5 Nf3 Nf6 Bc4	C42	Défense Petroff (russe) : Variante italienne	Petrov's Defense: Italian Variation
e4 e5 Nf3 Nf6 Nc3	C42	Défense Petroff (russe) : trois cavaliers Game	Petrov's Defense: Three Knights Game
e4 e5 Nf3 Nf6 Nxe5	C42	Défense Petroff (russe)	Petrov's Defense
e4 e5 Nf3 Nf6 d4	C43	Défense Petroff (russe) : Attaque moderne	Petrov's Defense: Modern Attack
e4 e5 Nf3 d6 Bc4	C41	Défense Philidor	Philidor Defense
e4 e5 Nf3 d6 d4	C41	Défense Philidor	Philidor Defense
e4 e5 Nf3 f5 Bc4	C40	Gambit letton : Attaque Mayet	Latvian Gambit: Mayet Attack
e4 e5 Nf3 f5 Nc3	C40	Gambit letton : Variante Mlotkowski	Latvian Gambit: Mlotkowski Variation
e4 e5 Nf3 f5 b4	C40	Gambit letton : Gambit Senechaud	Latvian Gambit: Senechaud Gambit
e4 e5 Nf3 f5 c4	C40	Gambit letton : Contre-gambit Diepstraten	Latvian Gambit: Diepstraten Countergambit
e4 e5 Nf3 f5 d4	C40	Gambit letton : Contre-gambit Mason	Latvian Gambit: Mason Countergambit
e4 e5 Nf3 f5 exf5	C40	Gambit letton accepté	Latvian Gambit Accepted
e4 e5 Nf3 f5 g4	C40	Gambit letton : Gambit Lobster	Latvian Gambit: Lobster Gambit
e4 e5 Qg4 Nf6 Qf5	C20	Ouverture du pion roi : Speers	King's Pawn Opening: Speers
e4 e5 d4 exd4 Bc4	C21	Partie du centre : Gambit von der Lasa	Center Game: von der Lasa Gambit
e4 e5 d4 exd4 Bd3	C21	Partie du centre : Gambit Ross	Center Game: Ross Gambit
e4 e5 d4 exd4 Nf3	C21	Partie du centre : Variante Kieseritzky	Center Game: Kieseritzky Variation
e4 e5 d4 exd4 Qxd4	C21	Partie du centre	Center Game
e4 e5 d4 exd4 c3	C21	Gambit danois	Danish Gambit
e4 e5 d4 exd4 f4	C21	Partie du centre : Gambit Halasz-McDonnell	Center Game: Halasz-McDonnell Gambit
e4 e5 f3 Nf6 Nc3	C20	Partie du pion roi : King's Head ouverture	King's Pawn Game: King's Head Opening
e4 e5 f4 Bc5 Qh5	C30	Gambit du roi refusé : Variante classique, Attaque Walthoffen	King's Gambit Declined: Classical Variation, Walthoffen Attack
e4 e5 f4 Qh4 g3	C30	Gambit du roi refusé : Défense Keene's	King's Gambit Declined: Keene's Defense
e4 e5 f4 d5 Nc3	C31	Gambit du roi refusé : Contre-gambit Falkbeer, Variante Milner-Barry	King's Gambit Declined: Falkbeer Countergambit, Milner-Barry Variation
e4 e5 f4 d5 Nf3	C31	Gambit du roi refusé : Contre-gambit Falkbeer, Attaque Blackburne	King's Gambit Declined: Falkbeer Countergambit, Blackburne Attack
e4 e5 f4 d5 d4	C31	Gambit du roi refusé : Contre-gambit Falkbeer, Gambit Hinrichsen	King's Gambit Declined: Falkbeer Countergambit, Hinrichsen Gambit
e4 e5 f4 d5 exd5	C31	Gambit du roi refusé : Falkbeer contre-gambit accepté	King's Gambit Declined: Falkbeer Countergambit Accepted
e4 e5 f4 exf4 Bb5	C33	Gambit du roi accepté : Gambit Schurig, avec Bb5	King's Gambit Accepted: Schurig Gambit, with Bb5
e4 e5 f4 exf4 Bc4	C33	Gambit du roi accepté : Gambit fou's	King's Gambit Accepted: Bishop's Gambit
e4 e5 f4 exf4 Bd3	C33	Gambit du roi accepté : Gambit Schurig, avec Bd3	King's Gambit Accepted: Schurig Gambit, with Bd3
e4 e5 f4 exf4 Be2	C33	Gambit du roi accepté : Gambit Tartakower	King's Gambit Accepted: Tartakower Gambit
e4 e5 f4 exf4 Kf2	C33	Gambit du roi accepté : Tumbleweed	King's Gambit Accepted: Tumbleweed
e4 e5 f4 exf4 Nc3	C33	Gambit du roi accepté : Gambit Mason-Keres	King's Gambit Accepted: Mason-Keres Gambit
e4 e5 f4 exf4 Ne2	C33	Gambit du roi accepté : Gambit Paris	King's Gambit Accepted: Paris Gambit
e4 e5 f4 exf4 Nf3	C34	Gambit du roi accepté : Gambit King's cavalier's	King's Gambit Accepted: King's Knight's Gambit
e4 e5 f4 exf4 Nh3	C33	Gambit du roi accepté : Variante Eisenberg	King's Gambit Accepted: Eisenberg Variation
e4 e5 f4 exf4 Qe2	C33	Gambit du roi accepté : Gambit Basman	King's Gambit Accepted: Basman Gambit
e4 e5 f4 exf4 Qf3	C33	Gambit du roi accepté : Gambit Breyer	King's Gambit Accepted: Breyer Gambit
e4 e5 f4 exf4 Qg4	C33	Gambit du roi accepté : Variante Dodo	King's Gambit Accepted: Dodo Variation
e4 e5 f4 exf4 Qh5	C33	Gambit du roi accepté : Gambit Carrera	King's Gambit Accepted: Carrera Gambit
e4 e5 f4 exf4 b3	C33	Gambit du roi accepté : Gambit Orsini	King's Gambit Accepted: Orsini Gambit
e4 e5 f4 exf4 d4	C33	Gambit du roi accepté : Gambit Villemson	King's Gambit Accepted: Villemson Gambit
e4 e5 f4 exf4 g3	C33	Gambit du roi accepté : Gambit Gaga	King's Gambit Accepted: Gaga Gambit
e4 e5 f4 exf4 h4	C33	Gambit du roi accepté : Gambit Stamma	King's Gambit Accepted: Stamma Gambit
e4 e6 Nc3 d5 f4	C00	Défense française : Variante Pelikan	French Defense: Pelikan Variation
e4 e6 Nf3 d5 Nc3	C00	Défense française : Variante deux cavaliers	French Defense: Two Knights Variation
e4 e6 b3 d5 Bb2	C00	Défense française : Attaque Horwitz, Gambit Papa-Ticulat	French Defense: Horwitz Attack, Papa-Ticulat Gambit
e4 e6 b4 Bxb4 e5	C00	Défense française : Gambit Banzai-Leong, Gambit Pinova	French Defense: Banzai-Leong Gambit, Pinova Gambit
e4 e6 d4 a6 c4	C00	Défense française : Défense St. George, Attaque Three Pawn	French Defense: St. George Defense, Three Pawn Attack
e4 e6 d4 c5 d5	A43	Défense Benoni : française Benoni	Benoni Defense: French Benoni
e4 e6 d4 d5 Bd3	C00	Défense française : Variante Schlechter	French Defense: Schlechter Variation
e4 e6 d4 d5 Be3	C00	Défense française : Gambit Alapin	French Defense: Alapin Gambit
e4 e6 d4 d5 Nc3	C10	Défense française : Variante Paulsen	French Defense: Paulsen Variation
e4 e6 d4 d5 Nd2	C03	Défense française : Variante Tarrasch	French Defense: Tarrasch Variation
e4 e6 d4 d5 Nf3	C00	Défense française : Gambit Perseus	French Defense: Perseus Gambit
e4 e6 d4 d5 Nh3	C00	Défense française : Gambit Morphy	French Defense: Morphy Gambit
e4 e6 d4 d5 c4	C00	Défense française : Gambit Diemer-Duhm	French Defense: Diemer-Duhm Gambit
e4 e6 d4 d5 e5	C02	Défense française : Variante avancée	French Defense: Advance Variation
e4 e6 d4 d5 exd5	C01	Défense française : Variante échange	French Defense: Exchange Variation
e4 e6 d4 f5 exf5	C00	Défense française : Franco-Hiva gambit accepté	French Defense: Franco-Hiva Gambit Accepted
e4 g6 d4 Bg7 Bc4	B06	Défense moderne : Attaque fou	Modern Defense: Bishop Attack
e4 g6 d4 Bg7 Bd2	B06	Défense moderne : Gambit Westermann	Modern Defense: Westermann Gambit
e4 g6 d4 Bg7 Bd3	B06	Défense moderne : Gambit Wind	Modern Defense: Wind Gambit
e4 g6 d4 Bg7 Nc3	B06	Défense moderne : Standard ligne	Modern Defense: Standard Line
e4 g6 d4 Bg7 f4	B06	Défense moderne : Attaque Three Pawns	Modern Defense: Three Pawns Attack
f3 e5 e4 Nf6 Bc4	C20	Ouverture Barnes : Walkerling	Barnes Opening: Walkerling
f3 f5 e4 fxe4 Nc3	A00	Ouverture Barnes : Gambit Gedult	Barnes Opening: Gedult Gambit
f4 Nf6 Nf3 g6 b4	A02	Ouverture de l'oiseau (Bird) : Attaque Batavo-polonaise	Bird Opening: Batavo-Polish Attack
g3 d5 Bg2 e5 b4	A00	Ouverture hongroise : Gambit Bücker	Hungarian Opening: Bücker Gambit
g3 e5 Nf3 e4 Nh4	A00	Ouverture hongroise : Défense inversée norvégienne	Hungarian Opening: Reversed Norwegian Defense
g4 d5 Bg2 Bxg4 c4	A00	Ouverture Grob : Gambit Grob, Gambit Fritz	Grob Opening: Grob Gambit, Fritz Gambit
g4 d5 Bg2 c6 g5	A00	Ouverture Grob : Attaque Spike	Grob Opening: Spike Attack
g4 d5 Bg2 h5 gxh5	A00	Ouverture Grob : Gambit Grob, Gambit Basman	Grob Opening: Grob Gambit, Basman Gambit
g4 d5 e4 dxe4 Nc3	A00	Ouverture Grob : Gambit Zilbermints	Grob Opening: Zilbermints Gambit
g4 e5 Bg2 d5 c4	A00	Ouverture Grob : Spike, Attaque Hurst	Grob Opening: Spike, Hurst Attack
h4 d5 d4 c5 e4	A00	Ouverture Kádas : Variante Myers	Kádas Opening: Myers Variation
h4 e5 d4 exd4 c3	A00	Ouverture Kádas : Gambit Kádas	Kádas Opening: Kádas Gambit
h4 f5 e4 fxe4 d3	A00	Ouverture Kádas : Gambit Steinbok	Kádas Opening: Steinbok Gambit
Na3 e5 Nc4 Nc6 e4 f5	A00	Attaque Sodium : Gambit Durkin	Sodium Attack: Durkin Gambit
Nc3 d5 e3 e5 d4 Bb4	A00	Ouverture Van Geet : Gambit Sleipnir	Van Geet Opening: Sleipnir Gambit
Nc3 d5 f4 d4 Ne4 c5	A00	Ouverture Van Geet : Gambit Melleby	Van Geet Opening: Melleby Gambit
Nc3 d5 f4 d4 Ne4 e5	A00	Ouverture Van Geet : Gambit Pfeiffer	Van Geet Opening: Pfeiffer Gambit
Nc3 d6 f4 e5 fxe5 Nc6	A00	Ouverture Van Geet : Gambit Hergert	Van Geet Opening: Hergert Gambit
Nc3 e5 e3 d5 Qh5 Be6	A00	Ouverture Van Geet : Gambit Hulsemann	Van Geet Opening: Hulsemann Gambit
Nc3 e5 e3 d5 Qh5 Nf6	A00	Ouverture Van Geet : Gambit Liebig	Van Geet Opening: Liebig Gambit
Nf3 Nf6 g3 d5 Bg2 e6	A07	Attaque indienne du roi, avec e6	King's Indian Attack, with e6
Nf3 d5 c4 c6 b3 Bf5	A12	Ouverture Réti : Variante Anglo-Slav, Variante Bogoljubow	Réti Opening: Anglo-Slav Variation, Bogoljubow Variation
Nf3 d5 c4 c6 b3 Bg4	A12	Ouverture Réti : Variante Anglo-Slav, Variante Bogoljubow	Réti Opening: Anglo-Slav Variation, Bogoljubow Variation
Nf3 d5 c4 d4 b4 c5	A09	Ouverture Réti : Variante avancée, Gambit Michel	Réti Opening: Advance Variation, Michel Gambit
Nf3 d5 c4 d4 b4 g5	A09	Ouverture Réti : Variante avancée, Gambit Navara	Réti Opening: Advance Variation, Navara Gambit
Nf3 d5 c4 dxc4 e3 Be6	A09	Ouverture Réti : Gambit Réti, Variante Keres	Réti Opening: Réti Gambit, Keres Variation
Nf3 d5 g3 Bg4 Bg2 Nd7	A07	Attaque indienne du roi : Variante Keres	King's Indian Attack: Keres Variation
